nob_doc_hash,eng_doc_hash,nob_url,eng_url,nob_fulltext,eng_fulltext
52efe1c557bc303b1a68411302f8164ce7734581,fa789c9902eae649298941796f2a03f5d7e0fef8,https://www.nordatanet.no/nb/nersc,https://www.nordatanet.no/en/nersc,"['Nansensenteret', 'Nansen-senteret (NERSC) er et uavhengig forskningsfag tilknyttet Universitetet i Bergen som utfører grunnleggende og anvendt forskning på (i) klima; (ii) regionale havmodelleringsstudier og operativ oceanografi; og (iii) satellittbasert hav- og polarforskning. Nansen-senteret genererer tverrfaglig vitenskapelig kompetanse i jordens miljø- og klimaforskning, satellittensensor, modellering og dataassimilering. Dens forskningsfokus er i jordvitenskap, særlig om emner som fysisk og biologisk oceanografi, meteorologi, sjøis / kryosfære studier, hydrologi og klimastudier, inkludert fjernkontroll i alle disse temaene. NERSC har etablert et nettverk av forsknings sentre i Russland, Kina, India og Sør-Afrika, som danner Nansen-konsernet. Nansen Groups langsiktige strategi er å skape en impuls for globalt orientert forskning til støtte for bærekraftig utvikling av jordressursressursene og å redusere de negative effektene av klimaendringer. NERSC leder NRC-finansiert prosjekt NORMAP, som har til formål å legge til rette for lett tilgang til fjernkontrollsystemene for forskere. NERSC deltar også i ulike prosjekter som er fokusert på vitenskapelig datainnsamling, produksjon og levering (også nært sanntidsoperasjon): Arctic-ROOS, GreenSeas, AquaMAR, BarentsWatch, MyOcean og andre.']","['Nansen Environmental and Remote Sensing Center', 'The Nansen Center (NERSC) is an independent non-profit research foundation affiliated with the University of Bergen which performs basic and applied research on (i) climate; (ii) regional ocean modelling studies and operational oceanography; and (iii) satellite-based ocean and polar research. The Nansen Center generate interdisciplinary scientific expertise in Earth system environmental and climate research, satellite remote sensing, modelling and data assimilation. Its research foci are in Earth sciences, particularly covering topics such as physical and biology oceanography, meteorology, sea ice/cryosphere studies, hydrology and climate studies, including remote sensing in all these themes. NERSC has established a network of research centers in Russian, China, India and South Africa, forming the Nansen Group. The Nansen Groups long-term strategy is to provide an impetus for globally-oriented research in support of sustainable development of the earths resources and to mitigate the adverse effects of climate change. NERSC leads the NRC funded project NORMAP aimed at facilitating easy access to the remote sensing products for scientists. NERSC also participates in various projects focused on scientific data acquisition, production and delivery (also including near-real time operation): Arctic-ROOS, GreenSeas, AquaMAR, BarentsWatch, MyOcean and other.']"
e2e154e499aa43ce9648b89829ce2d5876a9cc66,7571e64f47578a6b8a4c707ea677d913ff2134d8,https://www.nordatanet.no/nb/metsis/elements/no-met-adc-fc5c5222-0e6c-5ea6-9ebe-7b18fde42389/search,https://www.nordatanet.no/metsis/elements/no-met-adc-fc5c5222-0e6c-5ea6-9ebe-7b18fde42389/search,"['Child dataset(s)', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-08-17T08:00:00Z', 'Sluttdato: 2006-08-21T13:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-08-17T08:00:00Z', 'Sluttdato: 2006-08-21T14:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-08-17T08:00:00Z', 'Sluttdato: 2006-08-21T14:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-08-17T08:00:00Z', 'Sluttdato: 2006-08-21T13:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-06T14:00:00Z', 'Sluttdato: 2006-09-01T10:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-06T14:00:00Z', 'Sluttdato: 2006-09-01T10:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-06T16:00:00Z', 'Sluttdato: 2006-09-01T10:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-06T14:00:00Z', 'Sluttdato: 2006-09-01T11:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-05T20:00:00Z', 'Sluttdato: 2006-09-02T06:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-05T20:00:00Z', 'Sluttdato: 2006-09-02T06:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-05T20:00:00Z', 'Sluttdato: 2006-09-02T06:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-05T20:00:00Z', 'Sluttdato: 2006-09-02T06:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-05T20:00:00Z', 'Sluttdato: 2006-07-23T04:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-04T12:00:00Z', 'Sluttdato: 2006-09-04T04:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2005-09-04T12:00:00Z', 'Sluttdato: 2006-09-04T04:00:00Z']","['Child dataset(s)', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-08-17T08:00:00Z', 'End date: 2006-08-21T13:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-08-17T08:00:00Z', 'End date: 2006-08-21T14:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-08-17T08:00:00Z', 'End date: 2006-08-21T14:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-08-17T08:00:00Z', 'End date: 2006-08-21T13:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-06T14:00:00Z', 'End date: 2006-09-01T10:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-06T14:00:00Z', 'End date: 2006-09-01T10:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-06T16:00:00Z', 'End date: 2006-09-01T10:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-06T14:00:00Z', 'End date: 2006-09-01T11:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-05T20:00:00Z', 'End date: 2006-09-02T06:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-05T20:00:00Z', 'End date: 2006-09-02T06:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-05T20:00:00Z', 'End date: 2006-09-02T06:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-05T20:00:00Z', 'End date: 2006-09-02T06:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-05T20:00:00Z', 'End date: 2006-07-23T04:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-04T12:00:00Z', 'End date: 2006-09-04T04:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2005-09-04T12:00:00Z', 'End date: 2006-09-04T04:00:00Z']"
d1fcb2ca0c89d4f391c49205ccb1d11046f6c729,215c03b167b9fa3e36ea29021b6931a117e00371,https://www.nordatanet.no/nb/metsis/elements/no-met-adc-dd025b73-92bf-5e8b-8d87-2986c39f3a20/search,https://www.nordatanet.no/metsis/elements/no-met-adc-dd025b73-92bf-5e8b-8d87-2986c39f3a20/search,"['Child dataset(s)', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T06:00:00Z', 'Sluttdato: 2009-07-04T07:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T05:57:00Z', 'Sluttdato: 2009-07-04T07:57:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T05:53:00Z', 'Sluttdato: 2009-07-03T07:53:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T12:59:00Z', 'Sluttdato: 2009-07-04T06:59:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T12:00:01Z', 'Sluttdato: 2009-07-04T05:00:01Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T11:51:00Z', 'Sluttdato: 2009-06-11T05:51:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T12:00:07Z', 'Sluttdato: 2008-08-15T03:00:07Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T11:54:00Z', 'Sluttdato: 2009-07-04T05:54:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T12:00:01Z', 'Sluttdato: 2009-07-04T05:00:01Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T16:00:07Z', 'Sluttdato: 2008-11-14T01:00:07Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T15:55:00Z', 'Sluttdato: 2009-07-03T11:55:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T16:00:01Z', 'Sluttdato: 2009-07-03T11:00:01Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T15:53:00Z', 'Sluttdato: 2009-07-03T11:53:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T15:58:00Z', 'Sluttdato: 2009-07-02T11:58:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Startdato: 2008-07-07T16:00:01Z', 'Sluttdato: 2009-07-03T11:00:01Z']","['Child dataset(s)', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T06:00:00Z', 'End date: 2009-07-04T07:00:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T05:57:00Z', 'End date: 2009-07-04T07:57:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T05:53:00Z', 'End date: 2009-07-03T07:53:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T12:59:00Z', 'End date: 2009-07-04T06:59:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T12:00:01Z', 'End date: 2009-07-04T05:00:01Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T11:51:00Z', 'End date: 2009-06-11T05:51:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T12:00:07Z', 'End date: 2008-08-15T03:00:07Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T11:54:00Z', 'End date: 2009-07-04T05:54:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T12:00:01Z', 'End date: 2009-07-04T05:00:01Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T16:00:07Z', 'End date: 2008-11-14T01:00:07Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T15:55:00Z', 'End date: 2009-07-03T11:55:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T16:00:01Z', 'End date: 2009-07-03T11:00:01Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T15:53:00Z', 'End date: 2009-07-03T11:53:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T15:58:00Z', 'End date: 2009-07-02T11:58:00Z', 'DAMOCLES IP', 'Institutions: Norwegian Meteorological Institute / Arctic Data Centre, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, Germany, Norwegian Meteorological Institute / Arctic Data Centre', 'Start date: 2008-07-07T16:00:01Z', 'End date: 2009-07-03T11:00:01Z']"
28261bd7ce89d7b527aa89ab399bdb4ae46dd0a1,affe2b556cf988ac58e2b41e8c019a9023bd03d7,https://www.nordatanet.no/nb/metno,https://www.nordatanet.no/en/metno,"['Meteorologisk Institutt', 'Meteorologisk institutt (METNO) ble grunnlagt i 1866 og er et offentlig byrå som opererer 24/7/365. Instituttet gir informasjon som støtter offentlige myndigheter, bedrifter og allmennheten for å sikre liv og eiendom og til støtte for samfunnsplanlegging og miljøvern. FoU på METNO støttes direkte av regjeringen, av forskningsråd, EU, ESA, EUMETSAT og andre. METNO utfører kun eksternt finansiert prosjektarbeid som støtter instituttets sentrale oppdrag som skal beskytte liv og eiendom. METNO Forskning og utvikling er relatert til operativ numerisk modellering av atmosfæriske, oceanografiske, miljømessige og sjøisforhold. For å støtte disse modelleringsaktivitetene, numeriske modelleringsteknikker, in situ- og fjernvarslingsobservasjoner og dataassimilering teknikker er adressert. Utvikling av IT-verktøy og applikasjoner fokuserer på å betjene allmennheten og forskerne i tillegg til operasjonelle forpliktelser (for eksempel WMO GTS, WIS). METNO representerer Norge i mange internasjonale konvensjoner (WMO, ECMWF, EUMETSAT) og er involvert i en rekke partnerskap både innenfor de operative delene, samt i forskning og utvikling.']","['Norwegian Meteorological Institute', 'The Norwegian Meteorological Institute (METNO) was founded in 1866 and is a public agency which operates 24/7/365. The institute is providing information that supports public authorities, businesses and the general public to secure life and property and in support of societal planning and environmental protection. R&D at METNO is supported directly by the government, by research councils, EU, ESA, EUMETSAT and others. METNO only undertakes externally funded project work that supports the core mission of the institute which is to safeguard life and property. METNO Research and Development is related to operational numerical modelling of the atmospheric, oceanographic, environmental and sea-ice conditions. In order to support these modelling activities, numerical modelling techniques, in situ and remote sensing observations and data assimilation techniques are addressed. Development of IT-tools and applications focus on serving the general public and scientists in addition to operational commitments (e.g. WMO GTS, WIS). METNO is representing Norway in many international conventions (WMO, ECMWF, EUMETSAT) and is involved in a multitude of partnerships both within the operational parts as well as in Research and Development.']"
522ab74a41ddbaef2a54c7137bca212bca3accba,375078533358491ee0f1331e9395beb00262fa7d,https://www.nordatanet.no/nb/user/register?destination=/nb/node/305%23comment-form,https://www.nordatanet.no/en/user/register?destination=/en/node/305%23comment-form,"['Please add your phone number in the form +country code followed by the number.', 'Kontaktinnstillinger', 'Personlig kontaktskjema', 'Tillatt andre brukere å kontakte deg via et personlig kontaktskjema uten at din epostadresse blir synlig. Merk at noen priviligerte brukere som nettstedets administratorer fortsatt kan kontakte deg selvom du slår av denne muligheten.']","['Please add your phone number in the form +country code followed by the number.', 'Contact settings', 'Personal contact form', 'Allow other users to contact you via a personal contact form which keeps your email address hidden. Note that some privileged users such as site administrators are still able to contact you even if you choose to disable this feature.', 'Picture', 'Your virtual face or picture. | One file only. | 800 KB limit. | Allowed types: png gif jpg jpeg. | Images larger than 1024x1024 pixels will be resized.', 'CAPTCHA', 'What code is in the image?']"
