nynorsk_doc_hash,bokmaal_doc_hash,nynorsk_url,bokmaal_url,nynorsk_fulltext,bokmaal_fulltext
efe409368841ce9f441c7bb7b3dd550212b254cd,4889f4a41a05d6e1fbaed94915ebc10c0a41cf23,https://panorama.himolde.no/stikkord/byen/,https://panorama.himolde.no/stikkord/by/,"['Stikkordarkiv: Byen', 'Ja, vi nordmenn elskar landet vårt. Aller mest elskar vi den staden vi kjem frå. Ikkje alle sjølvsagt, men heimstaden betyr noko spesielt for dei fleste. Sjølv om vi har uttrykket by og land – hand i hand, kan det likevel synast som om det er påfallande mange i byane som går ut frå at … Fortsett å lese By og land kan gå hand i hand →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']","['Stikkordarkiv: By', 'Vi står foran en valgkamp hvor forholdet mellom by og land blir en del av retorikken. Noen av årsakene er åpenbare, som kommunereformen og det som oppfattes som en sentraliseringslinje fra sittende regjering. By og land, mann mot mann, heter det. Bak denne retorikken ligger et par århundrer med sentralisering og en frykt for at … Fortsett å lese Fram – og tilbake →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']"
7d545785d82d0585d03219d7806b11b38a654506,b591bf73498cc7e8998ebb0ddecf140a77589f01,https://panorama.himolde.no/stikkord/hodd/,https://panorama.himolde.no/stikkord/odds/,"['Stikkordarkiv: Hødd', 'ULSTEINVIK: Kystbyen som er kjent for å lage gull av gråstein har skaffa seg ei ny storstove. Fleire aktørar har jobba saman for å få til det unike anlegget for byens mange idrettstalent. Av EIRIK HELTNE Nye Høddvoll/Ulsteinhallen består av 200 meter løpebane innandørs, 35×40 meter sportsdekke og 105×70 meters utandørs fotballbane. I tillegg kjem … Fortsett å lese Ulsteinviks nye praktanlegg →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']","['Stikkordarkiv: Odds', 'Forleden dag gikk jeg meg på kollega Knut P. i en av gangene her ute på institusjonen. Han er et interessant fotballfaglig tilfelle ettersom han er en av de få med reell bransjeerfaring fra gudenes sport. Av HAUGEN og KNUT P. HEEN (medforfatter) Psykologi-professor Stål Bjørkly, med over 400 kamper for MFKs A-lag, er det … Fortsett å lese Trist, leit, pinlig og moralsk forkastelig →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']"
7d545785d82d0585d03219d7806b11b38a654506,e00a81137ed80cf2a8976f8600d5a1506c57185c,https://panorama.himolde.no/stikkord/hodd/,https://panorama.himolde.no/stikkord/odd/,"['Stikkordarkiv: Hødd', 'ULSTEINVIK: Kystbyen som er kjent for å lage gull av gråstein har skaffa seg ei ny storstove. Fleire aktørar har jobba saman for å få til det unike anlegget for byens mange idrettstalent. Av EIRIK HELTNE Nye Høddvoll/Ulsteinhallen består av 200 meter løpebane innandørs, 35×40 meter sportsdekke og 105×70 meters utandørs fotballbane. I tillegg kjem … Fortsett å lese Ulsteinviks nye praktanlegg →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']","['Stikkordarkiv: Odd', 'Selvsagt har gleden vært stor etter seriegullet. Den knusende seieren mot Strømsgodset som avgjorde gullkampen, har resultert i gledessignaler av ulike slag. Mitt personlige bidrag har dreid seg om en litt fiffig anvendelse av moderne teknologi. Litt tilfeldig, dog i forbindelse med et personlig jubileum, har jeg blitt den stolte eier av en Apple Watch. … Fortsett å lese Gullklokka →', 'Det er godt mulig at Leif Welhaven har rett i at mange utenfor Romsdal misliker Molde. Det bør klubben i så fall være glad for. Rivalisering er en viktig drivkraft for fotballinteressen. Fascinasjonen for fotball ligger ikke bare i at man har en bestemt klubb som man støtter i tykt og ikke minst tynt, men … Fortsett å lese Gleden ved å være upopulær →', 'Den spennende innspurten i Eliteserien (og OBOS-ligaen) har selvsagt engasjert hele Fra toppen av Haugen-gjengen de siste ukene. Av HAUGEN og OLAV HAUGE (medforfatter) Vi har gledet oss over både hjemmelaget og KBK, og noen har muligens også felt en liten tåre for Ålesund som må inn i en lang og tung kvalik etter å … Fortsett å lese Dag-Eilev →', 'Den dype sommerdpresjonen som inntraff i nær fortid (se: Sommer-depresjon og Manglende samspill) er snudd til gryende optimisme. Bildet over, tatt etter kampen mot Odd, reflekterer (visuelt) kanskje en slik optimisme. Av HAUGEN, BJØRN GUVÅG og OLAV HAUGE Omkamper i norsk fotball som følge av dommertabber er heldigvis ganske sjeldne. Hvorvidt det skyldes gode norske dommere … Fortsett å lese Omkamper →', 'Egentlig skulle det bare deles ut én MFK-pris, men Magnus E. Strand (23) og Gøran Askims (23) bacheloroppgaver i sport management var så gode at juryen i år delte ut to priser. Søndag ble det virkelig en knallstart på mastergradsstudiet i sport management for studentene Magnus E. Strand fra Sandvika i Bærum og Gøran Askim … Fortsett å lese HiMolde-studenter hedret med «MFK-prisen» på Aker stadion →', 'Den gjenglemte fotballen på den gamle og litt frostsprengte grusbanen på Sellanrå får stå som et symbol på at sesongen 2014 er avsluttet. Jeg tar en siste titt på den storslagne utsikten Fra toppen av Haugen og tar meg i å tenke på det praktfulle skuet gårsdagens fyrverkeri ved Aker Stadion var. Søndagens avslutning av … Fortsett å lese Sesongen er over →', 'Jeg skal innrømme at jeg misunner prorektor en anelse. Som ukentlig kan lire av seg sine, kanskje noe aparte, ekspertkommentarer om fotballen her i byen. Han har sneket seg til å opprette en sportsredaksjon han styrer helt alene. Som han nå sier han vil avvikle. Han følger åpenbart sesongen! «Rett fra rektor» hører naturligvis ikke … Fortsett å lese Om stort og smått →', 'Med sentrallinja på plass og et optimalisert laguttak vant hjemmelaget årets siste Tippeligakamp mot Odd på beste vis. Vi får selvsagt aldri vite om en mindre kraftfull strategi ville ha hatt positiv eller negativ innvirkning på årets neste, siste og viktigste kamp, men vi fikk i alle fall rett i at Bugge Pettersen spilte kampen … Fortsett å lese Lille-Ligaen →', 'Pressen lar seg overraske over det de oppfatter som et MFK i oppløsning. Fra toppen av Haugen er vi på ingen måte enige. Her må sportsjournalistene se bak resultatene, på lag og spill. Fotball kan ikke forstås tabloid, til det er spillet som gudene har gitt oss alt for komplekst. Lokalpressen har, som bildet over … Fortsett å lese Sentrallinja →', 'Hjemmelaget når stadig nye høyder. Nå er de i tillegg i stand til å «time» svake perioder til tidspunkt der konsekvensene er marginale. Dette er fotballkunst. Jeg sier ikke mer. Som de sier på utenlandsk: «All good things must come to an end.» Dette gjelder både en eksepsjonell fotballsesong, men også undertegnedes engasjement på toppen … Fortsett å lese Downperioder →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']"
c18be4d861a2a48362672ba239d77b80b3ca11ba,9081515279b88dddd35488caf9ef743098bf094a,https://panorama.himolde.no/stikkord/underhaldning/,https://panorama.himolde.no/stikkord/underholdning/,"['Stikkordarkiv: Underhaldning', 'Under partileiardebatten på NRK1 12. august måtte eg blesa ut litt på Facebook. Det er sjeldan eg bruker store bokstavar i heile ord, men då skreiv eg: «Dersom nokon har lite kunnskap om politikk og ønskjer å lære meir, bør dei IKKJE sjå partileiardebatten. Dersom nokon har lågt stressnivå i kvardagen og ønskjer å auke … Fortsett å lese Debattkakling til å bli matt av →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']","['Stikkordarkiv: Underholdning', 'Tittelen på denne teksten er stjålet fra den norske oversettelsen av Neil Postmans bok Amusing ourselves to death, en strålende, men også kontroversiell analyse av hvordan særlig TV-mediet på Postmans tid var i ferd med å fordumme det amerikanske folk (onde tunger vil nok antyde at vi ser resultatet enda tydeligere i dag). TV bidro … Fortsett å lese Vi morer oss til døde →', 'Forleden dag gikk herrefinalen i Champions League (CL) av stabelen i Paris. Både kampen og resultatet skal jeg klokelig forbigå i stillhet. At fotballkamper ofte ender med feil vinner er som det pleier å være, det er ikke mer å si om den saken. I tillegg til VM, er CL og CL-finalen toppen på fotballens … Fortsett å lese Nei til underholdning! →', 'Welhaven er mer sirkusdirektør enn sportsjournalist når han uten journalistiske argumenter og dokumentasjon kommenterer en fotballklubbs sjarm. Det er synd for oss som ønsker en troverdig sportsjournalistikk.', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']"
fa30768bd2d3ecc4326799bf6045b1740ed2743e,4a8bb473e022d481647bb67018bffc6e6ae187e0,https://panorama.himolde.no/stikkord/eksport/,https://panorama.himolde.no/stikkord/e-sport/,"['Stikkordarkiv: Eksport', 'For mange er vel oppfatninga at det gamle bondesamfunnet var stokk konservativt og lite endringsvillig. I same draget har vel tanken vore at bøndene stort sett dreiv det ein kan kalle eit sjølvbergingsjordbruk, meir eller mindre upåverka av eksterne faktorar. I dagens vesle innslag frå historikarkontoret skal me derimot sjå at innføring av ny teknologi … Fortsett å lese Mitt skip er laste med: smør! →', 'Laksen velger landeveien og bidrar til trafikkinfarkt i Europa, men offentlige støtteordninger kan hjelpe markedet til å finne sjøveien. Av HARALD M. HJELLE og SVEIN BRÅTHEN, HiMolde Norge er en storeksportør av fisk både fra oppdrettsanlegg og fiske. Fisken må bringes til kundene i Europa og andre kontinenter på en mest mulig effektiv måte. Om fisken … Fortsett å lese Båt er ofte best, men laksen kjører lastebil →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']","['Stikkordarkiv: E-sport', 'Vidusan Yoganathan (22), som på andre året studerer sport management ved HiMolde, har har sikret seg en karriere innenfor e-sport. Det er en bransje som de siste årene har vokst til en gigantindustri. Av NIRUSHNAHARAN THANIKASALAM Alt startet på gutterommet på Jessheim, hvor han satt og spilte det populære fotballspillet FIFA på konsollen sin. Lite … Fortsett å lese Norgesmester Vidusan ser mot internasjonal suksess →', 'Mange er blitt hektet på sjakk etter at Magnus Carlsen nådde verdenstoppen. Det er rett nok lite trolig at TV-kanaler i Norge vil slåss om rettighetene dersom en VM-match skulle bli spilt mellom for eksempel en russer og en inder, men at interessen ikke avtar – det er nå over seks år siden NRK for … Fortsett å lese Er sjakk idrett? →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']"
74dca5ad7e92e699a8591bc062ec5b255acbe09b,7f234881036070ad7ec40ea47479ce492215fead,https://panorama.himolde.no/stikkord/handel/,https://panorama.himolde.no/stikkord/e-handel/,"['Stikkordarkiv: Handel', 'I neste veke startar «Romsdalsmartnan» på Åndalsnes, tradisjonen tru. I våre dagar er dette ei samling av karusellar, elgpølse og – om ein er heldig – å få leie på det som i indre delar av Romsdal er kjent som fenomenet «martnakjæreste»! Frå gamalt av var derimot Romsdalsmarknaden, i langt større grad enn kva den … Fortsett å lese Romsdalsmarknaden var varebyte og handel sett i system →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']","['Stikkordarkiv: E-handel', 'Vegard Taklo (30) hoppet av HiMolde-studiene for å starte egen bedrift, men gikk på en IT-smell. Nå er CGI Norge dømt til å betale millionerstatning til selskapet hans. – CGI er det femte største IT-selskapet av denne typen i verden, med 65.000 ansatte. De er en gigantaktør, mens vi var en liten mygg, konstaterer Shopple-gründer … Fortsett å lese Student-gründer gikk på IT-smell – ble tilkjent millionerstatning →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']"
63da712216915453ba5e5f48a24b5f5db437322d,307c5de86edd8804cf7600716c274ce1ffbdc901,https://panorama.himolde.no/stikkord/kjonn/,https://panorama.himolde.no/stikkord/skjonn/,"['Stikkordarkiv: Kjønn', 'Etter snart tjue år i politikken har eg aldri opplevd det motsette kjønn som eit problem for at eg skal kunne vera politisk aktiv og få høge politiske verv. Likevel er det støtt «gubbeveldet» og «gutteklubben grei» som får skulda for at det er færre kvinner i høge politiske verv eller høge stillingar i næringslivet. … Fortsett å lese Kvinner her, men ikkje der – kva er problemet? →', 'Da prorektor Solfrid Vatne fikk innvilget fritak fra vervet fra nyttår, oppsto en situasjon som neppe er en institusjon for forskning og høyere utdanning verdig. Av HEIDI HOGSET, førsteamanuensis Det går frem av informasjon administrasjonen har gitt i forkant av suppleringsvalget til prorektor at «fast og midlertidig tilsatte, samt eksterne kandidater, er valgbare», og videre … Fortsett å lese Om kjønn, kompetanse og suppleringsvalget til prorektor →', 'Eg let meg stadig forbløffe over kor mykje rart som går føre seg rundt om i det vakre landet vårt. Nyleg var det ei nyheit frå ein skule i Trondheim som fekk meg til å himle med augene og riste på hovudet. Strengt tatt er ikkje eigne jente- og gutegrupper i skulefritidsordninga (SFO) ved Steindal … Fortsett å lese «Gutejente» eller «jentegut»? →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']","['Stikkordarkiv: Skjønn', 'Klagesaker har avslørt at forskjellige sensorer kan vurdere de samme eksamensbesvarelsene svært ulikt. Enkelte studenter har opplevd karakterhopp fra D til A etter klage. Hvordan er det mulig at samme eksamensbesvarelse kan få vidt forskjellige karakterer? Når det er store forskjeller på hvordan sensorer vurderer enkeltbesvarelser, sår det tvil om hvor riktig og rettferdig karaktersetting … Fortsett å lese Eksamenssensur: Skjønn og sjansespill →', 'Den dype sommerdpresjonen som inntraff i nær fortid (se: Sommer-depresjon og Manglende samspill) er snudd til gryende optimisme. Bildet over, tatt etter kampen mot Odd, reflekterer (visuelt) kanskje en slik optimisme. Av HAUGEN, BJØRN GUVÅG og OLAV HAUGE Omkamper i norsk fotball som følge av dommertabber er heldigvis ganske sjeldne. Hvorvidt det skyldes gode norske dommere … Fortsett å lese Omkamper →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']"
9c39b369657aa0e33c4a9bfc711efa30034258db,53835ef125ddc7bf1bf629b8a9be141a0997e621,https://panorama.himolde.no/stikkord/sosiale-media/,https://panorama.himolde.no/stikkord/sosiale-medier/,"['Stikkordarkiv: Sosiale media', 'Det kan bli både for lite og for mykje av oss politikarar. Men det som er sikkert, er at politikarar må rekne med å bli vurderte nøye, av media og veljarar. Om vi er ofte nok på nett, er eitt av målekriteria. Nyleg har Sylvi Listhaug fått veldig mange fleire følgjarar på Facebook. Ho har … Fortsett å lese Er du heilt på nett, eller? →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']","['Stikkordarkiv: sosiale medier', 'I dag sa en bekjent av meg følgende: «50 er de nye 30.» Kyss meg bak, tenkte jeg. Utsagnet kom fra typen hannkjønn, i midten av 50-årene som satt overskrevs på en splitter ny storsykkel «Neiiii, der er jeg ikke helt enig», sa jeg. Jeg jobber jo på en ungdomsskole, og med det så føler … Fortsett å lese 50 og popstjerne? →', 'Da NRK Brennpunkt viste dokumentaren «Lykkelandet» om rumensk mafia som skal bruke tigging som skalkeskjul for alvorlige kriminelle handlinger, kokte sosiale medier over. Dokumentaren har siden fått kritikk for både generalisering og fortellerstil, og for å vise til «billedbevis» som ikke hadde noe med de såkalte «tiggerbandene» å gjøre. Men jeg skal la dokumentaren ligge, … Fortsett å lese Forskning i Lykkelandet →', 'Sosiale medier er i ferd med å bli en uomgjengelig kilde til data for forskere i en rekke disipliner, rett og slett fordi det er en sentral arena i tilværelsen for stadig flere. Ungdom rapporteres både å drikke og røyke mindre enn før, og tilbringer mer tid hjemme. Den sosiale interaksjonen som foregikk utenfor pølsekiosken … Fortsett å lese Etikk i internettforskning →', 'Førsteamanuensis Per Kristian Rekdal sverger til Facebook når han skal kommunisere med studentene. – Facebook er den kommunikasjonskanalen som har størst gjennomslagskraft overfor studentene. Nå er også mobilkameraene blitt så gode at studenter ofte sender bilder av problemene sine til meg via Facebook. Studentene får i mye større grad med seg beskjeder som blir gitt … Fortsett å lese – Facebook har størst gjennomslagskraft →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']"
76600ea3fe1f71bbc798b6b2a42995c978797d59,2a2b4ed3e75cbfc4d1b0ecb598456f3930a882b7,https://panorama.himolde.no/stikkord/grus/,https://panorama.himolde.no/stikkord/gris/,"['Stikkordarkiv: Grus', 'Den mengda naturressursar vi menneske forbrukar, som olje og vatn, er ofte problematisert. At forbruket vårt av sand og grus er kritisk høgt, er kanskje dei færraste klar over. For framtida vår sin del må temaet truleg engasjere langt fleire. Sjølv høyrer eg kvar veke på ein tysk podcast som heiter «Hintergrund». Der får eg … Fortsett å lese Sanninga om sand →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']","['Stikkordarkiv: Gris', '– Fascinerende, erklærte sykepleiestudent Anabell Slemmen. I dag hadde førsteårsstudentene på sykepleierbacheloren griseinvoller og sauehjerter på programmet i faget Anatomi, fysiologi og biokjemi. – Vi har fått i oppgave å skjære ut forkamrene på et sauehjerte – høyre og venstre forkammer. Det er to måter å gjøre det på, forklarte studentene Karoline Huset, Kristine Broholm, … Fortsett å lese Griseinvoller og sauehjerter →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']"
76600ea3fe1f71bbc798b6b2a42995c978797d59,d4486cd5a34bf33399e2f8dddbe1d95f89988581,https://panorama.himolde.no/stikkord/grus/,https://panorama.himolde.no/stikkord/rus/,"['Stikkordarkiv: Grus', 'Den mengda naturressursar vi menneske forbrukar, som olje og vatn, er ofte problematisert. At forbruket vårt av sand og grus er kritisk høgt, er kanskje dei færraste klar over. For framtida vår sin del må temaet truleg engasjere langt fleire. Sjølv høyrer eg kvar veke på ein tysk podcast som heiter «Hintergrund». Der får eg … Fortsett å lese Sanninga om sand →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']","['Stikkordarkiv: Rus', '– Det er veldig vanskelig å komme ut av en rusutfordring helt alene. Det er nesten helt umulig tror jeg, så man må snakke med noen. Det er mitt beste tips, sier studentrådgiver Eva-Merete Otterlei Børstad i SiMolde. Av ELIAS ALEMAYEHU Børstad sier hun får innimellom henvendelser fra studenter som har eller har hatt rusproblemer. … Fortsett å lese Oppfordrer studenter til å være ærlige om rus →', 'Toppidrett handler om selvdisiplin, pågangsmot og viljestyrke, men for noen av de beste handler det også om berømmelse, røde løpere og glamour. Gjennom årevis med hardt arbeid, gjør de som lykkes seg fortjent til publikums begeistring. Størst og mest allestedsnærværende er begeistringen naturligvis i de mest populære idrettene, men den kan også oppstå i de … Fortsett å lese Verdige forbilder? →', '""Panorama er Høgskolen i Moldes uavhengige nettavis. Panorama skal drive fri og uavhengig journalistikk i tråd med den frie presses idealer.""']"
